method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha
coda_risk,congested,0.9955833333333334,21.682290650000006,41.8829,0.0,0.0,0.010841563666666663,0.9919166666666667,0.0,0.008083333333333333,0.002856422750567084,0.0,0.0,0.0,0.0,0.008083333333333333,mnist,7,0.1
local_only,mixed,0.99725,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,7,0.1
cloud_only,mixed,0.99725,178.38336946549697,502.0938577624997,0.7578333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
static_split,mixed,0.99725,178.38336946549697,502.0938577624997,0.7578333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
oracle_split,mixed,0.99725,178.38336946549697,502.0938577624997,0.7578333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
confidence_exit,mixed,0.9863333333333333,19.640594284738306,19.199,8.333333333333333e-05,8.333333333333333e-05,0.009814709583333331,0.9999166666666667,8.333333333333333e-05,0.0,0.013667805650470873,8.333333333333333e-05,0.0,0.0,0.0,0.0,mnist,7,0.1
branchynet,mixed,0.978,19.204670975000006,19.199,0.0,0.0,0.009602835249999999,1.0,0.0,0.0,0.022,0.0,0.0,0.0,0.0,0.0,mnist,7,0.1
deadline_greedy,mixed,0.99725,178.38336946549697,502.0938577624997,0.7578333333333334,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,7,0.1
aodpart,mixed,0.9863333333333333,19.633431808333338,19.199,0.0,0.0,0.009817200083333331,0.9999166666666667,0.0,8.333333333333333e-05,0.013667805650470873,0.0,0.0,0.0,0.0,8.333333333333333e-05,mnist,7,0.1
conformal_exit,mixed,0.9960833333333333,27.977015082195575,61.80011901325137,0.0365,0.049833333333333334,0.009747516166666666,0.9501666666666667,0.049833333333333334,0.0,0.0020171899666725137,0.049833333333333334,0.0,0.0,0.0,0.0,mnist,7,0.1
crc_exit,mixed,0.9955833333333334,22.724206263780758,41.8829,0.005666666666666667,0.008083333333333333,0.010599985166666666,0.9919166666666667,0.008083333333333333,0.0,0.002856422750567084,0.008083333333333333,0.0,0.0,0.0,0.0,mnist,7,0.1
coda_sc,mixed,0.9960833333333333,22.472820316666677,60.7726,0.0,0.0,0.011236835166666665,0.9501666666666667,0.0,0.049833333333333334,0.0020171899666725137,0.0,0.0,0.0,0.0,0.049833333333333334,mnist,7,0.1
coda_risk,mixed,0.9955833333333334,21.682290650000006,41.8829,0.0,0.0,0.010841563666666663,0.9919166666666667,0.0,0.008083333333333333,0.002856422750567084,0.0,0.0,0.0,0.0,0.008083333333333333,mnist,7,0.1
local_only,wifi,0.9966666666666667,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,13,0.1
cloud_only,wifi,0.9966666666666667,41.06187538756566,79.92594983702301,0.08666666666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
static_split,wifi,0.9966666666666667,41.06187538756566,79.92594983702301,0.08666666666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
oracle_split,wifi,0.9966666666666667,41.06187538756566,79.92594983702301,0.08666666666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
confidence_exit,wifi,0.98575,19.648460297989697,19.199,0.0,0.00016666666666666666,0.009820568,0.9998333333333334,0.00016666666666666666,0.0,0.014169028171361894,0.00016666666666666666,0.0,0.0,0.0,0.0,mnist,13,0.1
branchynet,wifi,0.97775,19.227354875000007,19.199,0.0,0.0,0.009614176249999997,1.0,0.0,0.0,0.02225,0.0,0.0,0.0,0.0,0.0,mnist,13,0.1
deadline_greedy,wifi,0.9966666666666667,41.06187538756566,79.92594983702301,0.08666666666666667,1.0,0.0005000000000000001,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,13,0.1
aodpart,wifi,0.98575,19.648460297989697,19.199,0.0,0.00016666666666666666,0.009820568,0.9998333333333334,0.00016666666666666666,0.0,0.014169028171361894,0.00016666666666666666,0.0,0.0,0.0,0.0,mnist,13,0.1
conformal_exit,wifi,0.9951666666666666,21.50799288294836,41.8829,0.003416666666666667,0.049416666666666664,0.009790058583333332,0.9505833333333333,0.049416666666666664,0.0,0.0021039712457263083,0.049416666666666664,0.0,0.0,0.0,0.0,mnist,13,0.1
crc_exit,wifi,0.9946666666666667,21.504074834079102,41.8829,0.0005833333333333334,0.008,0.010597904166666667,0.992,0.008,0.0,0.003276209677419355,0.008,0.0,0.0,0.0,0.0,mnist,13,0.1
