method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,bottleneck_channels,bottleneck_epochs,raw_input_scale
coda_split_controller,wifi,0.9898333333333333,56.47730773603307,94.11994539694112,0.19283333333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_controller,wifi,0.99625,60.763546965022044,60.7726,0.0006666666666666666,0.005833333333333334,0.03032284541666667,0.0,0.002916666666666667,0.9970833333333333,0.0,0.0,0.002916666666666667,0.0,0.0,0.9970833333333333,mnist,29,0.1,8,8,128.0
cloud_only,lte,0.99625,172.0101496074075,281.48988597382044,0.9980833333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
deadline_greedy,lte,0.9898333333333333,92.81769220492838,147.6416197260336,0.76175,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
oracle_split,lte,0.9898333333333333,92.81769220492838,147.6416197260336,0.76175,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_split_controller,lte,0.9898333333333333,92.81769220492838,147.6416197260336,0.76175,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_controller,lte,0.99625,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,8,8,128.0
cloud_only,congested,0.99625,417.1920993146191,839.2802102592602,0.9999166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
deadline_greedy,congested,0.9898333333333333,151.8929728903197,290.8721999798572,0.9516666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
oracle_split,congested,0.9898333333333333,151.8918455485901,290.8108985534181,0.9516666666666667,2.01025,0.008739369083333337,0.0,1.0,0.0,0.0,8.333333333333333e-05,0.99975,0.00016666666666666666,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_split_controller,congested,0.9898333333333333,151.8929728903197,290.8721999798572,0.9516666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_controller,congested,0.99625,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,8,8,128.0
cloud_only,mixed,0.99625,340.907951503407,990.5804385888713,0.9793333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
deadline_greedy,mixed,0.9898333333333333,187.67173091714514,498.85285590730314,0.87325,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
oracle_split,mixed,0.9899166666666667,187.56831986806492,498.85285590730314,0.8725833333333334,4.894,0.010032357000000002,0.0,1.0,0.0,0.0,0.023,0.9743333333333334,0.0026666666666666666,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_split_controller,mixed,0.9898333333333333,187.67173091714514,498.85285590730314,0.87325,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,29,0.1,8,8,128.0
coda_controller,mixed,0.99625,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,29,0.1,8,8,128.0
cloud_only,wifi,0.9964166666666666,68.91603149236032,109.96722818726882,0.39066666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
deadline_greedy,wifi,0.9930833333333333,56.67589426406452,95.69920559049316,0.19191666666666668,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
oracle_split,wifi,0.99325,56.61575205144979,95.60902523170871,0.19108333333333333,6.4205,0.010671950583333336,0.0,1.0,0.0,0.0,0.035083333333333334,0.9649166666666666,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_split_controller,wifi,0.9930833333333333,56.67589426406452,95.69920559049316,0.19191666666666668,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_controller,wifi,0.9963333333333333,60.75324080901077,60.7726,0.0009166666666666666,0.008666666666666666,0.03029217033333334,0.0,0.004333333333333333,0.9956666666666667,0.0,0.0,0.004333333333333333,0.0,0.0,0.9956666666666667,mnist,42,0.1,8,8,128.0
cloud_only,lte,0.9964166666666666,171.14343858510907,277.120145040027,0.9965833333333334,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
deadline_greedy,lte,0.9930833333333333,92.94576637949923,150.6651628439885,0.7579166666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
oracle_split,lte,0.9930833333333333,92.94502946313517,150.6651628439885,0.7579166666666667,2.0315,0.008746816750000002,0.0,1.0,0.0,0.0,0.00025,0.99975,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_split_controller,lte,0.9930833333333333,92.94576637949923,150.6651628439885,0.7579166666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_controller,lte,0.9964166666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,8,8,128.0
cloud_only,congested,0.9964166666666666,420.6767023121643,847.3144193520458,0.9999166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
deadline_greedy,congested,0.9930833333333333,153.59995933729942,295.41545936448404,0.95375,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
oracle_split,congested,0.9930833333333333,153.59700648574307,295.41545936448404,0.95375,1.999375,0.008737408750000003,0.0,1.0,0.0,0.0,0.0,0.9995833333333334,0.0004166666666666667,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_split_controller,congested,0.9930833333333333,153.59995933729942,295.41545936448404,0.95375,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_controller,congested,0.9964166666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,8,8,128.0
cloud_only,mixed,0.9964166666666666,388.46984862685326,1117.456082169272,0.9809166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
deadline_greedy,mixed,0.9930833333333333,210.74363172455136,575.1777776357076,0.8873333333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
oracle_split,mixed,0.99325,210.6448007494108,575.1777776357076,0.8863333333333333,4.6,0.00990340066666667,0.0,1.0,0.0,0.0,0.020666666666666667,0.9766666666666667,0.0026666666666666666,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_split_controller,mixed,0.9930833333333333,210.74363172455136,575.1777776357076,0.8873333333333333,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,8,8,128.0
coda_controller,mixed,0.9964166666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,8,8,128.0
cloud_only,wifi,0.9961666666666666,68.93200555934085,109.49484919871315,0.3948333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
deadline_greedy,wifi,0.9901666666666666,56.623841274614215,94.77177653423334,0.19375,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
oracle_split,wifi,0.99025,56.565231017571875,94.72705518468099,0.19291666666666665,6.431,0.010676556166666669,0.0,1.0,0.0,0.0,0.035166666666666666,0.9648333333333333,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_split_controller,wifi,0.9901666666666666,56.623841274614215,94.77177653423334,0.19375,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_controller,wifi,0.9961666666666666,60.73029252645418,60.7726,0.0011666666666666668,0.011833333333333333,0.03025788641666667,0.0,0.005916666666666666,0.9940833333333333,0.0,0.0,0.005916666666666666,0.0,0.0,0.9940833333333333,mnist,101,0.1,8,8,128.0
cloud_only,lte,0.9961666666666666,171.0491298226759,280.42487853920943,0.997,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
deadline_greedy,lte,0.9901666666666666,93.23390347675851,149.65500456430155,0.7631666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
oracle_split,lte,0.9901666666666666,93.23340750833259,149.65500456430155,0.7631666666666667,2.0105,0.008737605583333335,0.0,1.0,0.0,0.0,8.333333333333333e-05,0.9999166666666667,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_split_controller,lte,0.9901666666666666,93.23390347675851,149.65500456430155,0.7631666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_controller,lte,0.9961666666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,8,8,128.0
cloud_only,congested,0.9961666666666666,421.62764333349014,855.4409152527272,0.9999166666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
deadline_greedy,congested,0.9901666666666666,153.3660187292275,290.10878710061365,0.9501666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
oracle_split,congested,0.9901666666666666,153.36447270769472,290.10878710061365,0.9501666666666667,1.9995,0.008736527000000003,0.0,1.0,0.0,0.0,0.0,0.9996666666666667,0.0003333333333333333,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_split_controller,congested,0.9901666666666666,153.3660187292275,290.10878710061365,0.9501666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_controller,congested,0.9961666666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,8,8,128.0
cloud_only,mixed,0.9961666666666666,353.57838526820257,1013.2575426731831,0.979,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
deadline_greedy,mixed,0.9901666666666666,194.01176846299143,515.8197679173742,0.8756666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
oracle_split,mixed,0.99,193.91385604730644,515.8197679173742,0.8745833333333334,4.59975,0.00990516416666667,0.0,1.0,0.0,0.0,0.020666666666666667,0.9765,0.0028333333333333335,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_split_controller,mixed,0.9901666666666666,194.01176846299143,515.8197679173742,0.8756666666666667,2.0,0.008733000000000003,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,8,8,128.0
coda_controller,mixed,0.9961666666666666,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,8,8,128.0
