method,profile,accuracy,mean_latency_ms,p95_latency_ms,deadline_miss_rate,mean_upload_kb,mean_energy_j,exit_rate,offload_rate,local_rate,selective_error,action_cloud_raw_rate,action_split_l1_rate,action_split_l2_rate,action_split_l3_rate,action_local_full_rate,dataset,seed,alpha,raw_input_scale,payload_scale
coda_split_controller,congested,0.9955,153.49863655946865,295.84540685033477,0.9516666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_controller,congested,0.9955,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,128.0,0.125
cloud_only,mixed,0.9955,406.316741601544,1166.1534042337037,0.9818333333333333,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
deadline_greedy,mixed,0.9955,218.9481185404691,601.7972054462323,0.8931666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
oracle_split,mixed,0.9955,218.8765541130257,601.7972054462323,0.8925,4.204666666666666,0.009678242166666663,0.0,1.0,0.0,0.0,0.0175,0.9821666666666666,0.0003333333333333333,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_split_controller,mixed,0.9955,218.9481185404691,601.7972054462323,0.8931666666666667,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,42,0.1,128.0,0.125
coda_controller,mixed,0.9955,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,42,0.1,128.0,0.125
cloud_only,wifi,0.9975,69.16470907384753,110.81097291753709,0.39816666666666667,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
deadline_greedy,wifi,0.9975,56.704991310420155,96.41055139653325,0.19483333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
oracle_split,wifi,0.9975,56.652364383813996,96.3422031968098,0.1945,6.242,0.010568530999999997,0.0,1.0,0.0,0.0,0.033666666666666664,0.9663333333333334,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_split_controller,wifi,0.9975,56.704991310420155,96.41055139653325,0.19483333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_controller,wifi,0.9975,60.687360252908334,60.7726,0.0023333333333333335,0.023666666666666666,0.03012946516666667,0.0,0.011833333333333333,0.9881666666666666,0.0,0.0,0.011833333333333333,0.0,0.0,0.9881666666666666,mnist,101,0.1,128.0,0.125
cloud_only,lte,0.9975,171.06416846713682,280.456677224311,0.9961666666666666,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
deadline_greedy,lte,0.9975,93.12841871010586,147.60023867469602,0.7615,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
oracle_split,lte,0.9975,93.12743557325402,147.60023867469602,0.7615,2.021,0.008716215499999997,0.0,1.0,0.0,0.0,0.00016666666666666666,0.9998333333333334,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_split_controller,lte,0.9975,93.12841871010586,147.60023867469602,0.7615,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_controller,lte,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,128.0,0.125
cloud_only,congested,0.9975,421.9509319602169,855.5830405219323,1.0,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
deadline_greedy,congested,0.9975,154.08108684916417,291.8689923551889,0.9465,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
oracle_split,congested,0.9975,154.08108684916417,291.8689923551889,0.9465,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_split_controller,congested,0.9975,154.08108684916417,291.8689923551889,0.9465,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
coda_controller,congested,0.9975,60.772600000000004,60.7726,0.0,0.0,0.030386000000000007,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,mnist,101,0.1,128.0,0.125
cloud_only,mixed,0.9975,360.250565498161,1041.8444275378313,0.977,128.0,0.06400000000000002,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
deadline_greedy,mixed,0.9975,196.1325037795255,534.3217717701694,0.8728333333333333,2.0,0.008706999999999996,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,mnist,101,0.1,128.0,0.125
